수집시각,순위,영화명,개봉일,예매율,예매관객수,누적관객수
2026-08-28 19:19:34,1,오디세이,2026-08-05,67.4%,"556,605","7,806,312"
2026-08-28 19:19:34,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,8.6%,"71,363","8,297,959"
2026-08-28 19:19:34,3,경주기행,2026-08-26,3.8%,"31,607","67,421"
2026-08-28 19:19:34,4,암살자(들),2026-09-23,2.8%,"22,999",0
2026-08-28 19:19:34,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"19,449","43,966"
2026-08-28 19:19:34,6,비광,2026-09-02,2.2%,"18,450","1,795"
2026-08-28 19:19:34,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.2%,"10,207","798,969"
2026-08-28 19:19:34,8,인턴,2026-09-16,1.0%,"7,899",0
2026-08-28 19:19:34,9,인시디어스: 그들이 넘어왔다,2026-08-20,0.8%,"6,670","126,204"
2026-08-28 19:19:34,10,싱 어게인,2026-09-02,0.8%,"6,342","1,389"
2026-08-28 19:19:34,11,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.7%,"5,492","5,818,119"
2026-08-28 19:19:34,12,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"5,388","382,404"
2026-08-28 19:19:34,13,고스트밴드,2026-08-26,0.6%,"5,135","5,842"
2026-08-28 19:19:34,14,오케이 마담2,2026-08-12,0.4%,"3,586","323,938"
2026-08-28 19:19:34,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,442","1,090,742"
2026-08-28 19:19:34,16,인 더 그레이,2026-09-02,0.4%,"3,341",156
2026-08-28 19:19:34,17,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.4%,"3,084","1,161"
2026-08-28 19:19:34,18,극장판 기븐 – 바다로,2026-08-26,0.4%,"2,994","2,321"
2026-08-28 19:19:34,19,어떻게 해야 했을까?,2026-07-29,0.3%,"2,351","88,699"
2026-08-28 19:19:34,20,도그 스타: 마지막 희망,2026-08-26,0.3%,"2,127","4,740"
2026-08-28 19:19:34,21,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 19:19:34,22,퍼피 구조대: 더 다이노 무비,2026-08-13,0.2%,"1,897","97,904"
2026-08-28 19:19:34,23,드라큘라: 러브 테일,2026-08-26,0.2%,"1,869","6,811"
2026-08-28 19:19:34,24,옵세션,2026-09-02,0.2%,"1,810",782
2026-08-28 19:19:34,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,788","178,780"
2026-08-28 20:21:08,1,오디세이,2026-08-05,67.5%,"564,305","7,806,312"
2026-08-28 20:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,8.6%,"71,949","8,297,959"
2026-08-28 20:21:08,3,경주기행,2026-08-26,3.8%,"31,589","67,421"
2026-08-28 20:21:08,4,암살자(들),2026-09-23,2.8%,"23,451",0
2026-08-28 20:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.3%,"19,620","43,966"
2026-08-28 20:21:08,6,비광,2026-09-02,2.2%,"18,485","1,795"
2026-08-28 20:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.3%,"10,878","798,969"
2026-08-28 20:21:08,8,인턴,2026-09-16,1.0%,"8,413",0
2026-08-28 20:21:08,9,싱 어게인,2026-09-02,0.8%,"6,380","1,389"
2026-08-28 20:21:08,10,인시디어스: 그들이 넘어왔다,2026-08-20,0.8%,"6,353","126,204"
2026-08-28 20:21:08,11,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"5,643","382,404"
2026-08-28 20:21:08,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.7%,"5,484","5,818,119"
2026-08-28 20:21:08,13,고스트밴드,2026-08-26,0.6%,"5,192","5,842"
2026-08-28 20:21:08,14,오케이 마담2,2026-08-12,0.4%,"3,643","323,938"
2026-08-28 20:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,494","1,090,742"
2026-08-28 20:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,354",156
2026-08-28 20:21:08,17,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.4%,"3,071","1,161"
2026-08-28 20:21:08,18,극장판 기븐 – 바다로,2026-08-26,0.4%,"3,017","2,321"
2026-08-28 20:21:08,19,어떻게 해야 했을까?,2026-07-29,0.3%,"2,354","88,699"
2026-08-28 20:21:08,20,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,052","4,740"
2026-08-28 20:21:08,21,퍼피 구조대: 더 다이노 무비,2026-08-13,0.2%,"2,049","97,904"
2026-08-28 20:21:08,22,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 20:21:08,23,옵세션,2026-09-02,0.2%,"1,855",782
2026-08-28 20:21:08,24,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,798","178,780"
2026-08-28 20:21:08,25,드라큘라: 러브 테일,2026-08-26,0.2%,"1,779","6,811"
2026-08-28 21:21:07,1,오디세이,2026-08-05,67.4%,"572,668","7,806,312"
2026-08-28 21:21:07,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,8.7%,"73,763","8,297,959"
2026-08-28 21:21:07,3,경주기행,2026-08-26,3.8%,"32,378","67,421"
2026-08-28 21:21:07,4,암살자(들),2026-09-23,2.8%,"23,921",0
2026-08-28 21:21:07,5,오크 스트리트의 마지막 날,2026-08-26,2.3%,"19,947","43,966"
2026-08-28 21:21:07,6,비광,2026-09-02,2.2%,"18,532","1,795"
2026-08-28 21:21:07,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.4%,"11,682","798,969"
2026-08-28 21:21:07,8,인턴,2026-09-16,1.0%,"8,699",0
2026-08-28 21:21:07,9,싱 어게인,2026-09-02,0.8%,"6,412","1,389"
2026-08-28 21:21:07,10,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"5,906","382,404"
2026-08-28 21:21:07,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"5,679","126,204"
2026-08-28 21:21:07,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,477","5,818,119"
2026-08-28 21:21:07,13,고스트밴드,2026-08-26,0.6%,"5,190","5,842"
2026-08-28 21:21:07,14,오케이 마담2,2026-08-12,0.4%,"3,780","323,938"
2026-08-28 21:21:07,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,546","1,090,742"
2026-08-28 21:21:07,16,인 더 그레이,2026-09-02,0.4%,"3,367",156
2026-08-28 21:21:07,17,극장판 기븐 – 바다로,2026-08-26,0.4%,"3,028","2,321"
2026-08-28 21:21:07,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.4%,"3,015","1,161"
2026-08-28 21:21:07,19,어떻게 해야 했을까?,2026-07-29,0.3%,"2,368","88,699"
2026-08-28 21:21:07,20,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,261","97,904"
2026-08-28 21:21:07,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,072","4,740"
2026-08-28 21:21:07,22,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 21:21:07,23,옵세션,2026-09-02,0.2%,"1,923",782
2026-08-28 21:21:07,24,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,850","178,780"
2026-08-28 21:21:07,25,드라큘라: 러브 테일,2026-08-26,0.2%,"1,819","6,811"
2026-08-28 22:21:08,1,오디세이,2026-08-05,67.2%,"585,356","7,806,312"
2026-08-28 22:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,8.8%,"76,841","8,297,959"
2026-08-28 22:21:08,3,경주기행,2026-08-26,3.9%,"33,534","67,421"
2026-08-28 22:21:08,4,암살자(들),2026-09-23,2.8%,"24,450",0
2026-08-28 22:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"20,652","43,966"
2026-08-28 22:21:08,6,비광,2026-09-02,2.1%,"18,567","1,795"
2026-08-28 22:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.4%,"12,449","798,969"
2026-08-28 22:21:08,8,인턴,2026-09-16,1.1%,"9,400",0
2026-08-28 22:21:08,9,싱 어게인,2026-09-02,0.7%,"6,443","1,389"
2026-08-28 22:21:08,10,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"6,217","382,404"
2026-08-28 22:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.6%,"5,465","126,204"
2026-08-28 22:21:08,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,463","5,818,119"
2026-08-28 22:21:08,13,고스트밴드,2026-08-26,0.6%,"5,267","5,842"
2026-08-28 22:21:08,14,오케이 마담2,2026-08-12,0.4%,"3,867","323,938"
2026-08-28 22:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,584","1,090,742"
2026-08-28 22:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,383",156
2026-08-28 22:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.4%,"3,054","2,321"
2026-08-28 22:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,984","1,161"
2026-08-28 22:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,463","97,904"
2026-08-28 22:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,391","88,699"
2026-08-28 22:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,111","4,740"
2026-08-28 22:21:08,22,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 22:21:08,23,옵세션,2026-09-02,0.2%,"1,994",782
2026-08-28 22:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,881","6,811"
2026-08-28 22:21:08,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,874","178,780"
2026-08-28 23:21:08,1,오디세이,2026-08-05,67.1%,"597,018","7,806,312"
2026-08-28 23:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.0%,"79,984","8,297,959"
2026-08-28 23:21:08,3,경주기행,2026-08-26,3.9%,"34,467","67,421"
2026-08-28 23:21:08,4,암살자(들),2026-09-23,2.8%,"24,883",0
2026-08-28 23:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"21,354","43,966"
2026-08-28 23:21:08,6,비광,2026-09-02,2.1%,"18,628","1,795"
2026-08-28 23:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,050","798,969"
2026-08-28 23:21:08,8,인턴,2026-09-16,1.1%,"9,815",0
2026-08-28 23:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.7%,"6,588","382,404"
2026-08-28 23:21:08,10,싱 어게인,2026-09-02,0.7%,"6,457","1,389"
2026-08-28 23:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.6%,"5,687","126,204"
2026-08-28 23:21:08,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,345","5,818,119"
2026-08-28 23:21:08,13,고스트밴드,2026-08-26,0.6%,"5,314","5,842"
2026-08-28 23:21:08,14,오케이 마담2,2026-08-12,0.4%,"3,995","323,938"
2026-08-28 23:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,621","1,090,742"
2026-08-28 23:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,391",156
2026-08-28 23:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,089","2,321"
2026-08-28 23:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,967","1,161"
2026-08-28 23:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,599","97,904"
2026-08-28 23:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,437","88,699"
2026-08-28 23:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,185","4,740"
2026-08-28 23:21:08,22,옵세션,2026-09-02,0.2%,"2,066",782
2026-08-28 23:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-28 23:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,922","6,811"
2026-08-28 23:21:08,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,894","178,780"
2026-08-29 00:21:08,1,오디세이,2026-08-05,67.1%,"607,416","8,017,422"
2026-08-29 00:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.0%,"81,889","8,344,390"
2026-08-29 00:21:08,3,경주기행,2026-08-26,3.9%,"35,022","95,758"
2026-08-29 00:21:08,4,암살자(들),2026-09-23,2.8%,"25,463",0
2026-08-29 00:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"21,870","59,803"
2026-08-29 00:21:08,6,비광,2026-09-02,2.1%,"18,657","1,795"
2026-08-29 00:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,432","800,646"
2026-08-29 00:21:08,8,인턴,2026-09-16,1.1%,"10,026",0
2026-08-29 00:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"6,880","386,849"
2026-08-29 00:21:08,10,싱 어게인,2026-09-02,0.7%,"6,489","1,389"
2026-08-29 00:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.6%,"5,861","132,408"
2026-08-29 00:21:08,12,고스트밴드,2026-08-26,0.6%,"5,328","6,803"
2026-08-29 00:21:08,13,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,203","5,819,197"
2026-08-29 00:21:08,14,오케이 마담2,2026-08-12,0.5%,"4,082","326,837"
2026-08-29 00:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,697","1,091,072"
2026-08-29 00:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,399",156
2026-08-29 00:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,107","2,786"
2026-08-29 00:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,907","1,314"
2026-08-29 00:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,652","98,452"
2026-08-29 00:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,468","89,819"
2026-08-29 00:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,260","7,067"
2026-08-29 00:21:08,22,옵세션,2026-09-02,0.2%,"2,110",782
2026-08-29 00:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 00:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,949","8,521"
2026-08-29 00:21:08,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,926","178,780"
2026-08-29 01:21:07,1,오디세이,2026-08-05,67.0%,"613,629","8,017,461"
2026-08-29 01:21:07,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"83,304","8,344,405"
2026-08-29 01:21:07,3,경주기행,2026-08-26,3.9%,"35,535","95,775"
2026-08-29 01:21:07,4,암살자(들),2026-09-23,2.8%,"25,994",0
2026-08-29 01:21:07,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"22,108","59,803"
2026-08-29 01:21:07,6,비광,2026-09-02,2.0%,"18,684","1,795"
2026-08-29 01:21:07,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,633","800,646"
2026-08-29 01:21:07,8,인턴,2026-09-16,1.1%,"10,394",0
2026-08-29 01:21:07,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"7,090","386,849"
2026-08-29 01:21:07,10,싱 어게인,2026-09-02,0.7%,"6,512","1,389"
2026-08-29 01:21:07,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"6,007","132,410"
2026-08-29 01:21:07,12,고스트밴드,2026-08-26,0.6%,"5,347","6,803"
2026-08-29 01:21:07,13,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,294","5,819,197"
2026-08-29 01:21:07,14,오케이 마담2,2026-08-12,0.5%,"4,144","326,837"
2026-08-29 01:21:07,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,733","1,091,072"
2026-08-29 01:21:07,16,인 더 그레이,2026-09-02,0.4%,"3,404",156
2026-08-29 01:21:07,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,111","2,786"
2026-08-29 01:21:07,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,916","1,314"
2026-08-29 01:21:07,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,673","98,452"
2026-08-29 01:21:07,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,499","89,819"
2026-08-29 01:21:07,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,278","7,067"
2026-08-29 01:21:07,22,옵세션,2026-09-02,0.2%,"2,150",782
2026-08-29 01:21:07,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 01:21:07,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,970","8,527"
2026-08-29 01:21:07,25,핵소 고지,재개봉일 : 2026-09-02 2017-02-22,0.2%,"1,932","178,780"
2026-08-29 02:21:08,1,오디세이,2026-08-05,66.9%,"616,432","8,017,465"
2026-08-29 02:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"83,995","8,344,409"
2026-08-29 02:21:08,3,경주기행,2026-08-26,3.9%,"35,794","95,775"
2026-08-29 02:21:08,4,암살자(들),2026-09-23,2.8%,"26,220",0
2026-08-29 02:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"22,241","59,803"
2026-08-29 02:21:08,6,비광,2026-09-02,2.0%,"18,704","1,795"
2026-08-29 02:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,709","800,646"
2026-08-29 02:21:08,8,인턴,2026-09-16,1.1%,"10,497",0
2026-08-29 02:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"7,171","386,849"
2026-08-29 02:21:08,10,싱 어게인,2026-09-02,0.7%,"6,532","1,389"
2026-08-29 02:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"6,072","132,413"
2026-08-29 02:21:08,12,고스트밴드,2026-08-26,0.6%,"5,354","6,803"
2026-08-29 02:21:08,13,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,332","5,819,197"
2026-08-29 02:21:08,14,오케이 마담2,2026-08-12,0.5%,"4,165","326,837"
2026-08-29 02:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,742","1,091,072"
2026-08-29 02:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,406",156
2026-08-29 02:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,128","2,786"
2026-08-29 02:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,929","1,314"
2026-08-29 02:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,698","98,452"
2026-08-29 02:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,522","89,820"
2026-08-29 02:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,292","7,067"
2026-08-29 02:21:08,22,옵세션,2026-09-02,0.2%,"2,164",782
2026-08-29 02:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 02:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,992","8,527"
2026-08-29 02:21:08,25,호프,2026-07-15,0.2%,"1,950","4,530,401"
2026-08-29 03:21:08,1,오디세이,2026-08-05,66.9%,"617,777","8,017,465"
2026-08-29 03:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"84,285","8,344,409"
2026-08-29 03:21:08,3,경주기행,2026-08-26,3.9%,"35,923","95,775"
2026-08-29 03:21:08,4,암살자(들),2026-09-23,2.9%,"26,402",0
2026-08-29 03:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"22,299","59,803"
2026-08-29 03:21:08,6,비광,2026-09-02,2.0%,"18,706","1,795"
2026-08-29 03:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,764","800,646"
2026-08-29 03:21:08,8,인턴,2026-09-16,1.1%,"10,565",0
2026-08-29 03:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"7,214","386,849"
2026-08-29 03:21:08,10,싱 어게인,2026-09-02,0.7%,"6,535","1,389"
2026-08-29 03:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"6,116","132,413"
2026-08-29 03:21:08,12,고스트밴드,2026-08-26,0.6%,"5,348","6,803"
2026-08-29 03:21:08,13,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,343","5,819,197"
2026-08-29 03:21:08,14,오케이 마담2,2026-08-12,0.5%,"4,177","326,837"
2026-08-29 03:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,734","1,091,072"
2026-08-29 03:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,407",156
2026-08-29 03:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,128","2,786"
2026-08-29 03:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,931","1,314"
2026-08-29 03:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,701","98,452"
2026-08-29 03:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,528","89,820"
2026-08-29 03:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,295","7,067"
2026-08-29 03:21:08,22,옵세션,2026-09-02,0.2%,"2,181",782
2026-08-29 03:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 03:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"1,993","8,527"
2026-08-29 03:21:08,25,호프,2026-07-15,0.2%,"1,954","4,530,401"
2026-08-29 04:21:08,1,오디세이,2026-08-05,66.9%,"618,519","8,017,465"
2026-08-29 04:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"84,422","8,344,409"
2026-08-29 04:21:08,3,경주기행,2026-08-26,3.9%,"35,963","95,775"
2026-08-29 04:21:08,4,암살자(들),2026-09-23,2.9%,"26,537",0
2026-08-29 04:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"22,329","59,803"
2026-08-29 04:21:08,6,비광,2026-09-02,2.0%,"18,707","1,795"
2026-08-29 04:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,780","800,646"
2026-08-29 04:21:08,8,인턴,2026-09-16,1.1%,"10,597",0
2026-08-29 04:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"7,230","386,849"
2026-08-29 04:21:08,10,싱 어게인,2026-09-02,0.7%,"6,548","1,389"
2026-08-29 04:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"6,137","132,413"
2026-08-29 04:21:08,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,358","5,819,197"
2026-08-29 04:21:08,13,고스트밴드,2026-08-26,0.6%,"5,341","6,803"
2026-08-29 04:21:08,14,오케이 마담2,2026-08-12,0.5%,"4,183","326,837"
2026-08-29 04:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,741","1,091,072"
2026-08-29 04:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,408",156
2026-08-29 04:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,139","2,786"
2026-08-29 04:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,934","1,314"
2026-08-29 04:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,711","98,452"
2026-08-29 04:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,527","89,820"
2026-08-29 04:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.2%,"2,303","7,067"
2026-08-29 04:21:08,22,옵세션,2026-09-02,0.2%,"2,195",782
2026-08-29 04:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 04:21:08,24,드라큘라: 러브 테일,2026-08-26,0.2%,"2,001","8,527"
2026-08-29 04:21:08,25,호프,2026-07-15,0.2%,"1,956","4,530,401"
2026-08-29 05:21:08,1,오디세이,2026-08-05,66.8%,"616,929","8,017,484"
2026-08-29 05:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"84,470","8,344,409"
2026-08-29 05:21:08,3,경주기행,2026-08-26,3.9%,"35,949","95,796"
2026-08-29 05:21:08,4,암살자(들),2026-09-23,2.9%,"26,619",0
2026-08-29 05:21:08,5,오크 스트리트의 마지막 날,2026-08-26,2.4%,"22,311","59,803"
2026-08-29 05:21:08,6,비광,2026-09-02,2.0%,"18,711","1,795"
2026-08-29 05:21:08,7,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1.5%,"13,796","800,658"
2026-08-29 05:21:08,8,인턴,2026-09-16,1.2%,"10,626",0
2026-08-29 05:21:08,9,명탐정 코난: 하이웨이의 타천사,2026-08-12,0.8%,"7,231","386,852"
2026-08-29 05:21:08,10,싱 어게인,2026-09-02,0.7%,"6,552","1,389"
2026-08-29 05:21:08,11,인시디어스: 그들이 넘어왔다,2026-08-20,0.7%,"6,151","132,413"
2026-08-29 05:21:08,12,극장판 귀멸의 칼날: 무한성편,재개봉일 : 2026-08-26 2025-08-22,0.6%,"5,362","5,819,197"
2026-08-29 05:21:08,13,고스트밴드,2026-08-26,0.6%,"5,341","6,803"
2026-08-29 05:21:08,14,오케이 마담2,2026-08-12,0.5%,"4,180","326,842"
2026-08-29 05:21:08,15,마루 밑 아리에티,재개봉일 : 2026-08-19 2010-09-09,0.4%,"3,741","1,091,072"
2026-08-29 05:21:08,16,인 더 그레이,2026-09-02,0.4%,"3,409",156
2026-08-29 05:21:08,17,극장판 기븐 – 바다로,2026-08-26,0.3%,"3,132","2,786"
2026-08-29 05:21:08,18,터치드 콘서트 [하이라이트 포] : 더 무비,2026-08-26,0.3%,"2,936","1,314"
2026-08-29 05:21:08,19,퍼피 구조대: 더 다이노 무비,2026-08-13,0.3%,"2,712","98,452"
2026-08-29 05:21:08,20,어떻게 해야 했을까?,2026-07-29,0.3%,"2,535","89,820"
2026-08-29 05:21:08,21,도그 스타: 마지막 희망,2026-08-26,0.3%,"2,313","7,067"
2026-08-29 05:21:08,22,옵세션,2026-09-02,0.2%,"2,203",782
2026-08-29 05:21:08,23,포가튼 아일랜드,2026-09-23,0.2%,"2,006",0
2026-08-29 05:21:08,23,드라큘라: 러브 테일,2026-08-26,0.2%,"2,006","8,527"
2026-08-29 05:21:08,25,호프,2026-07-15,0.2%,"1,957","4,530,401"
2026-08-29 06:21:08,1,오디세이,2026-08-05,66.7%,"612,577","8,017,484"
2026-08-29 06:21:08,2,스파이더맨: 브랜드 뉴 데이,2026-07-29,9.1%,"83,956","8,344,409"
2026-08-29 06:21:08,3,경주기행,2026-08-26,3.9%,"35,937","95,796"
